구분,고유번호,종목코드,회사명,induty_code,법인등록번호
상장,00622787,377740,(주)바이오노트,213,1348110324294
상장,00326731,064550,(주)바이오니아,213,1601110032542
상장,00155382,065940,(주)바이오빌,20132,1801110069806
상장,00240857,038460,(주)바이오스마트,26293,1101110414302
상장,01186671,281310,(주)바이오시네틱스,70113,1101112943010
상장,01130885,266470,(주)바이오인프라생명과학,70113,1246110241808
상장,00447502,086040,(주)바이오톡스텍,70113,1501110048707
상장,01157846,188040,(주)바이오포트코리아,108,1801110500991
상장,00669450,199290,(주)바이오프로테크,271,1101111973729
상장,00264255,043150,(주)바텍,271,1341110036348
상장,00122348,003610,(주)방림,132,1101110035108
상장,01182240,267790,(주)배럴,1419,1101114256924
상장,00122436,011800,(주)배명금속,24122,1201110004672
상장,00929778,199870,(주)배터리솔루션즈,24213,1945110008610
상장,00360036,046310,(주)백금티앤에이,2642,1101111353153
상장,00122551,035150,(주)백산,22214,1147110003729
